study_id	bioproject_id	sample_id	library_strategy	organism	organism_enriched	organism_ontology	tissue	tissue_enriched	tissue_ontology	cell_type	cell_type_enriched	cell_type_ontology	cell_line	cell_line_enriched	cell_line_ontology	strain	strain_enriched	strain_ontology	developmental_stage	developmental_stage_enriched	developmental_stage_ontology	genotype	genotype_enriched	genotype_ontology	age	age_enriched	age_ontology	sex	sex_enriched	sex_ontology	condition	condition_enriched	condition_ontology	treatment	treatment_enriched	treatment_ontology	timepoint	timepoint_enriched	timepoint_ontology	replicate	replicate_enriched	replicate_ontology	batch	batch_enriched	batch_ontology	disease	disease_enriched	disease_ontology	stress	stress_enriched	stress_ontology	temperature	temperature_enriched	temperature_ontology	growth_condition	growth_condition_enriched	growth_condition_ontology	sample_title	sample_description
PRJNA397065		SRS2404551	OTHER	Danio rerio	no	NCBITaxon:7955	embryo	no	UBERON:0000922		no			no		TU/AB	no		64c	no			no		2.0	no		pooled male and female	no			no			no			no			no			no			no			no			no			no		miniRESA - 2h pA RNA B4	
PRJNA397065		SRS2404554	OTHER	Danio rerio	no	NCBITaxon:7955	embryo	no	UBERON:0000922		no			no		TU/AB	no		64c	no			no		2.0	no		pooled male and female	no			no			no			no			no			no			no			no			no			no		miniRESA - 2h pA RNA B5	
PRJNA397065		SRS2404552	OTHER	Danio rerio	no	NCBITaxon:7955	embryo	no	UBERON:0000922		no			no		TU/AB	no		shield	no			no		6.0	no		pooled male and female	no			no			no			no			no			no			no			no			no			no		miniRESA - 6h pA RNA B3	
PRJNA397065		SRS2404548	OTHER	Danio rerio	no	NCBITaxon:7955	embryo	no	UBERON:0000922		no			no		TU/AB	no		shield	no			no		6.0	no		pooled male and female	no			no			no			no			no			no			no			no			no			no		miniRESA - 6h pA RNA B4	
PRJNA397065		SRS2404547	OTHER	Danio rerio	no	NCBITaxon:7955	embryo	no	UBERON:0000922		no			no		TU/AB	no		shield	no			no		6.0	no		pooled male and female	no			no			no			no			no			no			no			no			no			no		miniRESA - 6h pA RNA B5	
PRJNA397065		SRS2404550	OTHER	Danio rerio	no	NCBITaxon:7955	embryo	no	UBERON:0000922		no			no		TU/AB	no		shield	no			no		6.0	no		pooled male and female	no			no		alpha-am	no			no			no			no			no			no			no			no		miniRESA - 6h a-Am pA RNA B3	
PRJNA397065		SRS2404549	OTHER	Danio rerio	no	NCBITaxon:7955	embryo	no	UBERON:0000922		no			no		TU/AB	no		shield	no			no		6.0	no		pooled male and female	no			no		alpha-am	no			no			no			no			no			no			no			no		miniRESA - 6h a-Am pA RNA B4	
PRJNA397065		SRS2404555	OTHER	Danio rerio	no	NCBITaxon:7955	embryo	no	UBERON:0000922		no			no		TU/AB	no		shield	no			no		6.0	no		pooled male and female	no			no		alpha-am	no			no			no			no			no			no			no			no		miniRESA - 6h a-Am pA RNA B5	
PRJNA397065		SRS2404559	OTHER	Danio rerio	no	NCBITaxon:7955	embryo	no	UBERON:0000922		no			no		TU/AB	no		64c	no			no		2.0	no		pooled male and female	no			no		cyclohex,PatA	no			no			no			no			no			no			no			no		RPF patA - WT 64c PatA RPF B1	
PRJNA397065		SRS2404558	OTHER	Danio rerio	no	NCBITaxon:7955	embryo	no	UBERON:0000922		no			no		TU/AB	no		64c	no			no		2.0	no		pooled male and female	no			no		cyclohex,PatA	no			no			no			no			no			no			no			no		RPF patA - WT 64c PatA RPF B2	
PRJNA397065		SRS2404570	OTHER	Danio rerio	no	NCBITaxon:7955	embryo	no	UBERON:0000922		no			no		TU/AB	no		64c	no			no		2.0	no		pooled male and female	no			no		DMS	no			no			no			no			no			no			no			no		DMS-Seq PatA - WT 64c DMS B1	
PRJNA397065		SRS2404569	OTHER	Danio rerio	no	NCBITaxon:7955	embryo	no	UBERON:0000922		no			no		TU/AB	no		64c	no			no		2.0	no		pooled male and female	no			no		DMS	no			no			no			no			no			no			no			no		DMS-Seq PatA - WT 64c DMS B2	
PRJNA397065		SRS2404568	OTHER	Danio rerio	no	NCBITaxon:7955	embryo	no	UBERON:0000922		no			no		TU/AB	no		64c	no			no		2.0	no		pooled male and female	no			no		cyclohex	no			no			no			no			no			no			no			no		RPF patA - WT 64c RPF B1	
PRJNA397065		SRS2404564	OTHER	Danio rerio	no	NCBITaxon:7955	embryo	no	UBERON:0000922		no			no		TU/AB	no		64c	no			no		2.0	no		pooled male and female	no			no		cyclohex	no			no			no			no			no			no			no			no		RPF patA - WT 64c RPF B2	
PRJNA918384		SRS16351692	RNA-Seq	Danio rerio	no	NCBITaxon:7955	Danio rerio	no	NCBITaxon:7955		no			no			no			no		wild type	no		8 hpf	no			no			no			no			no			no			no			no			no			no			no		Ribo-seq_wt+lowdoseMO_8h_replicate_1	
PRJNA918384		SRS16351693	RNA-Seq	Danio rerio	no	NCBITaxon:7955	Danio rerio	no	NCBITaxon:7955		no			no			no			no		wild type	no		8 hpf	no			no			no			no			no			no			no			no			no			no			no		Ribo-seq_wt+lowdoseMO_8h_replicate_2	
PRJNA918384		SRS16351694	RNA-Seq	Danio rerio	no	NCBITaxon:7955	Danio rerio	no	NCBITaxon:7955		no			no			no			no		cpeb1b mutant	no		8 hpf	no			no			no			no			no			no			no			no			no			no			no		Ribo-seq_cpeb1bmutant+lowdoseMO_8h_replicate_1	
PRJNA918384		SRS16351695	RNA-Seq	Danio rerio	no	NCBITaxon:7955	Danio rerio	no	NCBITaxon:7955		no			no			no			no		cpeb1b mutant	no		8 hpf	no			no			no			no			no			no			no			no			no			no			no		Ribo-seq_cpeb1bmutant+lowdoseMO_8h_replicate_2	
PRJNA918384		SRS16351696	RNA-Seq	Danio rerio	no	NCBITaxon:7955	Danio rerio	no	NCBITaxon:7955		no			no			no			no		wild type	no		16 hpf	no			no			no			no			no			no			no			no			no			no			no		Ribo-seq_wt+lowdoseMO_16h_replicate_1	
PRJNA918384		SRS16351697	RNA-Seq	Danio rerio	no	NCBITaxon:7955	Danio rerio	no	NCBITaxon:7955		no			no			no			no		wild type	no		16 hpf	no			no			no			no			no			no			no			no			no			no			no		Ribo-seq_wt+lowdoseMO_16h_replicate_2	
PRJNA918384		SRS16351698	RNA-Seq	Danio rerio	no	NCBITaxon:7955	Danio rerio	no	NCBITaxon:7955		no			no			no			no		cpeb1b mutant	no		16 hpf	no			no			no			no			no			no			no			no			no			no			no		Ribo-seq_cpeb1bmutant+lowdoseMO_16h_replicate_1	
